"","it","de","ko","ru","ja","hi"
"0209",6264,2296,15,750,20221,1982
"0210",10695,2300,76,880,8514,1416
"0211",9480,2762,67,699,9983,890
"0212",2200,2606,474,669,8396,1310
"0213",5754,3482,457,1090,8309,1608
"0214",4637,2063,538,550,14426,901
"0215",6215,2621,406,444,5264,764
"0216",4201,2422,376,546,14660,771
"0217",4201,2108,240,648,12918,1153
"0218",6423,2362,752,499,4698,1046
"0219",3763,1916,1553,444,17241,1058
"0220",3109,1441,1167,915,7724,813
"0221",3109,2264,1635,825,7724,715
"0222",85646,3371,2483,855,7724,1092
"0223",93968,3371,2318,889,7724,641
"0224",99801,10788,2823,1070,21861,613
"0225",82574,15878,1930,766,16929,261
"0226",66549,22537,3087,1201,23070,471
"0227",67174,22537,2676,1325,23070,1607
"0228",68236,31220,3473,1389,23070,2949
"0229",48203,21416,2232,1003,231106,1294
"0301",48065,19393,2030,1112,96964,1615
"0302",42009,15927,1955,1291,46027,2291
"0303",41422,15664,4654,956,60980,9739
"0304",50758,14325,1617,977,46523,15298
"0305",66301,16485,1378,965,21596,16486
"0306",65822,16209,1860,900,17838,8786
"0307",78224,12651,1294,906,16028,6537
"0308",101307,17215,1252,846,30964,3632
"0309",153647,28665,1757,1142,18945,6050
"0310",129225,39401,1392,1571,15629,3430
