1/21/2020,0
1/22/2020,1
1/23/2020,2
1/24/2020,2
1/25/2020,3
1/26/2020,4
1/27/2020,4
1/28/2020,7
1/29/2020,7
1/30/2020,14
1/31/2020,22
2/1/2020,12
2/2/2020,8
2/3/2020,5
2/4/2020,5
2/5/2020,4
2/6/2020,4
2/7/2020,4
2/8/2020,4
2/9/2020,4
2/10/2020,5
2/11/2020,5
2/12/2020,4
2/13/2020,4
2/14/2020,4
2/15/2020,3
2/16/2020,3
2/17/2020,3
2/18/2020,3
2/19/2020,3
2/20/2020,2
2/21/2020,35
2/22/2020,74
2/23/2020,100
2/24/2020,90
2/25/2020,75
2/26/2020,58
2/27/2020,49
2/28/2020,42
2/29/2020,43
3/1/2020,39
3/2/2020,40
3/3/2020,42
3/4/2020,61
3/5/2020,53
3/6/2020,56
3/7/2020,70
3/8/2020,80
3/9/2020,82
3/10/2020,78
3/11/2020,81
3/12/2020,74
3/13/2020,66
3/14/2020,65
3/15/2020,69
3/16/2020,57
3/17/2020,56
3/18/2020,56
3/19/2020,56
3/20/2020,57
3/21/2020,60
3/22/2020,60
3/23/2020,50
3/24/2020,47
3/25/2020,44
3/26/2020,43
3/27/2020,43
3/28/2020,44
3/29/2020,42
3/30/2020,36
3/31/2020,33
4/1/2020,31
4/2/2020,30
4/3/2020,36
4/4/2020,46
4/5/2020,45
4/6/2020,31
4/7/2020,30
4/8/2020,29
4/9/2020,29
4/10/2020,28
4/11/2020,28
4/12/2020,31
4/13/2020,32
4/14/2020,28
4/15/2020,25
4/16/2020,25
4/17/2020,26
4/18/2020,38
