"","Node","lat","long","pop_total"
"1","Af1",28.4458285714286,13.8527615714286,196168184
"2","Af2",0.184070521739131,17.2277115652174,934814657
"3","Am1",35.1695822222222,-93.5914311111111,490246938
"4","Am2",15.8596901111111,-72.247411,81486544
"5","Am3",-9.46136428571429,-65.4108071428571,429575688
"6","As1",31.9664875,45.4721230555556,351181249
"7","As2",43.5338333333333,68.7583666666667,56160257
"8","As3",19.9906666666667,81.4342833333333,413111561
"9","As4",34.4636282828283,112.165260606061,1412593044
"10","As5",8.72523209090909,109.552548636364,594113120
"11","Au",-24.231296875,159.534821875,38313043
"12","De",48.1186,10.3319,99363604
"13","Eu1",38.4458,0.716966666666667,57114662
"14","Eu2",47.5414,4.42885,94143937
"15","Eu3",54.26025,-5.56405,70943242
"16","Eu4",63.14458,3.622,26807891
"17","Eu5",48.74392,17.76318,66038212
"18","Eu6",42.8648236,20.8278477,50574207
"19","Eu7",53.3575166666667,26.8311666666667,63892096
"20","Hi",21,78,1339180127
"21","It",42.9484333333333,12.3037333333333,59394300
"22","Ja",36,138,127484450
"23","Ko",36,128,50982212
"24","Ru",60,90,143989754
